fictitious,identifier,class,roadNumber,name1,name1_lang,name2,name2_lang,formOfWay,length,primary,trunkRoad,loop,startNode,endNode,structure,nameTOID,numberTOID,function.,length_raw,length_str,length_dif,sinuosity
false,7E7C249A-1F36-4C1A-B487-0B492DB6D79A,Unclassified,NA,Downs Barn Boulevard,NA,NA,NA,Slip Road,68,false,false,false,B47E4B47-0E39-4E2E-8692-47BB008BC400,2E72B756-C7E0-48EA-84DB-1B94558B5DF6,NA,osgb4000000019433865,NA,Local Road,68.1017947491808,64.9740632867971,3.12773146238376,1.04813815396734
false,64AD7574-894C-456C-83C5-C657731EDD84,B Road,B4034,Marlborough Street,NA,NA,NA,Collapsed Dual Carriageway,41,false,false,false,BCF08107-065E-4D3C-A958-16E73584C07A,E1A6390B-8A1B-4CCB-9039-7DC80A3ECCC2,NA,osgb4000000019431243,osgb4000000019439864,B Road,40.7140609193208,40.7140589968724,1.92244837649014e-06,1.00000004721829
false,26FD3BA4-5050-436B-96CE-23BD9261AAE9,Unclassified,NA,Downs Barn Boulevard,NA,NA,NA,Slip Road,57,false,false,false,BCF08107-065E-4D3C-A958-16E73584C07A,2E72B756-C7E0-48EA-84DB-1B94558B5DF6,NA,osgb4000000019433865,NA,Local Road,56.8625541249054,56.3581156533696,0.504438471535728,1.00895059151087
false,0EBAFE69-7B8F-4E87-9941-68BCC39B0C6D,B Road,B4034,Marlborough Street,NA,NA,NA,Collapsed Dual Carriageway,167,false,false,false,657DFEE5-E6DB-48CF-9FCB-61F50A789165,BCF08107-065E-4D3C-A958-16E73584C07A,NA,osgb4000000019431243,osgb4000000019439864,B Road,166.996221111031,166.919083690247,0.0771374207840267,1.00046212463595
false,7FBC6644-B6C5-4E10-8DE7-EB8853176843,Unclassified,NA,Bayard Avenue,NA,NA,NA,Collapsed Dual Carriageway,180,false,false,false,C91ACFEB-2214-48BD-9CB6-5DFD02D75071,6E964455-A53B-4531-8CF4-322BD14336FB,NA,osgb4000000019408278,NA,Local Road,180.095499458941,179.864390305576,0.231109153365509,1.00128490777398
false,D9F9ADC8-C377-45FD-893C-A2E14146ED5E,Unclassified,NA,Percheron Place,NA,NA,NA,Collapsed Dual Carriageway,144,false,false,false,D7A17930-A363-4AC2-8684-1840F9B16BC2,C91ACFEB-2214-48BD-9CB6-5DFD02D75071,NA,osgb4000000019408279,NA,Local Road,143.824190500364,143.743850651062,0.0803398493023906,1.00055890981728
false,7864B61A-35F3-4D29-9F5C-F06C46C39987,B Road,B4034,Marlborough Street,NA,NA,NA,Slip Road,85,false,false,false,63C0405B-4288-4203-91C7-9E40985556F2,657DFEE5-E6DB-48CF-9FCB-61F50A789165,NA,osgb4000000019431243,osgb4000000019439864,B Road,84.8761751329814,83.5926216839855,1.28355344899597,1.01535486533546
false,20644ED6-B368-424C-A93A-1696551DCE4A,A Road,A509,Portway,NA,NA,NA,Collapsed Dual Carriageway,39,false,false,false,6CEAFFAA-E5BA-4CB0-B338-46A663DC29FF,63C0405B-4288-4203-91C7-9E40985556F2,NA,osgb4000000019433751,osgb4000000019553705,A Road,39.197231769232,39.1972307695479,9.99684132807488e-07,1.00000002550395
false,4313198A-A275-4F0E-88A4-62C762FB4996,Unclassified,NA,Downs Barn Boulevard,NA,NA,NA,Single Carriageway,83,false,false,false,D7A17930-A363-4AC2-8684-1840F9B16BC2,2E72B756-C7E0-48EA-84DB-1B94558B5DF6,NA,osgb4000000019433865,NA,Local Road,83.0786055060606,83.0763606569254,0.00224484913516676,1.00002702151511
false,3894FBC5-62EF-442C-AB73-654D324E2A4D,A Road,A509,Portway,NA,NA,NA,Roundabout,43,false,false,false,6CEAFFAA-E5BA-4CB0-B338-46A663DC29FF,BD92AE41-8090-4A6C-8EE1-088A9E3F2CBE,NA,osgb4000000019433751,osgb4000000019553705,A Road,43.4881603711281,39.3810423935074,4.10711797762065,1.10429175379821
false,C019BF2D-989F-4055-B825-E57B6D9D7014,B Road,B4034,Marlborough Street,NA,NA,NA,Collapsed Dual Carriageway,24,false,false,false,BD92AE41-8090-4A6C-8EE1-088A9E3F2CBE,657DFEE5-E6DB-48CF-9FCB-61F50A789165,NA,osgb4000000019431243,osgb4000000019439864,B Road,23.9624417418693,23.9624414448985,2.96970835478305e-07,1.00000001239318
false,66B59FC4-700B-476D-A631-8D078DA12A1F,A Road,A509,Portway,NA,NA,NA,Roundabout,45,false,false,false,E8919D1B-63A6-4806-9C29-00F2EA783EAF,6CEAFFAA-E5BA-4CB0-B338-46A663DC29FF,NA,osgb4000000019433751,osgb4000000019553705,A Road,44.7285552136027,40.7297262450795,3.99882896852316,1.09817961811138
